2025-03-16 20:27:21.312283 ; Session        ; Debug       ; Session log loaded as 'C:\Station_de_test\OpenTAP_IOBox\OpenTAP_IOBox\bin\Release\SessionLogs\tap 2025-03-16 20-27-21.txt'. [1.40 ms]
2025-03-16 20:27:22.137868 ; Package        ; Debug       ; Available custom actions for 'create' stage. (2 actions: OpenTap.Package.IncludePackageDependencies, OpenTap.Package.FileHashPackageAction)
2025-03-16 20:27:22.141386 ; Package        ; Information ; Package action IncludePackageDependencies completed [2.11 ms]
2025-03-16 20:27:22.158756 ; Package        ; Information ; Package action FileHashPackageAction completed [18.2 ms]
2025-03-16 20:27:22.159756 ; Package        ; Information ; Creating OpenTAP package.
2025-03-16 20:27:22.175759 ; Package        ; Debug       ; Compressed 'C:\Users\Daniel\AppData\Local\Temp\nyfe54z2.knk\Versioned\InterconnectIOBox.dll' [13.5 ms]
2025-03-16 20:27:22.223757 ; Package        ; Debug       ; Verifying package integrity...
2025-03-16 20:27:22.229760 ; Package        ; Debug       ; Verified metadata integrity. [6.10 ms]
2025-03-16 20:27:22.230760 ; Package        ; Debug       ; Verified archive integrity. [7.11 ms]
2025-03-16 20:27:22.233759 ; PackageAction  ; Information ; OpenTAP plugin package 'FTS_InterconnectIOBox.0.0.1-beta.1+317055aa.TapPackage' containing 'FTS_InterconnectIOBox' successfully created.
2025-03-16 20:27:22.236757 ; PackageAction  ; Information ; Installed 'FTS_InterconnectIOBox' (C:\Station_de_test\OpenTAP_IOBox\OpenTAP_IOBox\bin\Release\Packages\FTS_InterconnectIOBox\package.xml)
2025-03-16 20:27:22.236757 ; CLI            ; Debug       ; CLI action returned exit code: 0 [561 ms]
