2025-03-16 15:41:05.966164 ; Session        ; Debug       ; Session log loaded as 'C:\Station_de_test\OpenTAP_IObox\OpenTAP_IOBox\bin\Debug\SessionLogs\MSBuild.16548 2025-03-16 15-38-14.txt'. [2.49 ms]
2025-03-16 15:41:07.825337 ; GraphQL        ; Debug       ; {"type":"TapPackage","directory":"/Packages/","version":"","architecture":"x64","os":"Windows"} -> found 1597 packages. [1.30 s]
2025-03-16 15:41:08.665746 ; GraphQL        ; Debug       ; {"type":"TapPackage","directory":"/Packages/","name":"OSIntegration","version":"alpha","architecture":"x64","os":"Windows"} -> found 1 packages. [802 ms]
2025-03-16 15:41:09.474291 ; GraphQL        ; Debug       ; {"type":"TapPackage","directory":"/Packages/","name":"OpenTAP","version":"alpha","architecture":"x64","os":"Windows"} -> found 39 packages. [811 ms]
2025-03-16 15:41:10.126168 ; GraphQL        ; Debug       ; {"type":"TapPackage","directory":"/Packages/","name":"Keysight Licensing","version":"alpha","architecture":"x64","os":"Windows"} -> found 26 packages. [641 ms]
2025-03-16 15:41:10.776942 ; GraphQL        ; Debug       ; {"type":"TapPackage","directory":"/Packages/","name":"WPF Controls","version":"alpha","architecture":"x64","os":"Windows"} -> found 9 packages. [658 ms]
2025-03-16 15:41:11.357284 ; GraphQL        ; Debug       ; {"type":"TapPackage","directory":"/Packages/","name":"Keysight Fixed Licensing","version":"rc","architecture":"x64","os":"Windows"} -> found 6 packages. [567 ms]
2025-03-16 15:41:11.965569 ; GraphQL        ; Debug       ; {"type":"TapPackage","directory":"/Packages/","name":"Keysight Floating Licensing","version":"rc","architecture":"x64","os":"Windows"} -> found 6 packages. [622 ms]
2025-03-16 15:41:12.586856 ; GraphQL        ; Debug       ; {"type":"TapPackage","directory":"/Packages/","name":"PathWave Licensing","version":"rc","architecture":"x64","os":"Windows"} -> found 6 packages. [613 ms]
2025-03-16 15:41:12.586856 ; image          ; Debug       ; Resolved image: Editor:9, OpenTAP:9.27.0+11e5348d, CSV:^9.14.0+7676a2a2, Keysight Licensing:^1.5.1+16a9625a, OSIntegration:^1.4.3+0968b4c4, SQLite and PostgreSQL:^9.6.0+558afbf4, TUI:^1.1.1+507fd903, WPF Controls:^9.27.0+f0e134d7, PathWave License Manager:^2.7.0+398d3a87 [4.75 s]
2025-03-16 15:41:13.300566 ; OpenTAP        ; Information ; Target installation is already up to date.
